cell_id,centroid_x,centroid_y,dx,dy,bearing_deg,ds_id,area_m2,soil_type,wpf_ymin,wpf_ymax,wpf_k
127,1526759.087000,5172158.971000,145.000300,-354.999500,157.782336,157,100.000000,Organic patch,1.100000,2.200000,0.038000
128,1526769.087000,5172158.971000,155.000300,-354.999500,156.412899,156,100.000000,Organic patch,1.100000,2.200000,0.038000
129,1526779.087000,5172158.971000,165.000300,-354.999500,155.071455,155,100.000000,Organic patch,1.100000,2.200000,0.038000
130,1526789.087000,5172158.971000,175.000300,-354.999500,153.758579,153,100.000000,Organic patch,1.100000,2.200000,0.038000
131,1526419.087000,5172168.971000,-194.999700,-344.999500,209.475887,209,100.000000,Organic patch,1.100000,2.200000,0.038000
132,1526429.087000,5172168.971000,-184.999700,-344.999500,208.201624,208,100.000000,Organic patch,1.100000,2.200000,0.038000
133,1526439.087000,5172168.971000,-174.999700,-344.999500,206.896231,206,100.000000,Organic patch,1.100000,2.200000,0.038000
134,1526449.087000,5172168.971000,-164.999700,-344.999500,205.559957,205,100.000000,Organic patch,1.100000,2.200000,0.038000
135,1526459.087000,5172168.971000,-154.999700,-344.999500,204.193199,204,100.000000,Organic patch,1.100000,2.200000,0.038000
136,1526469.087000,5172168.971000,-144.999700,-344.999500,202.796509,202,100.000000,Organic patch,1.100000,2.200000,0.038000
137,1526479.087000,5172168.971000,-134.999700,-344.999500,201.370607,201,100.000000,Organic patch,1.100000,2.200000,0.038000
138,1526489.087000,5172168.971000,-124.999700,-344.999500,199.916389,199,100.000000,Organic patch,1.100000,2.200000,0.038000
139,1526499.087000,5172168.971000,-114.999700,-344.999500,198.434929,198,100.000000,Organic patch,1.100000,2.200000,0.038000
140,1526509.087000,5172168.971000,-104.999700,-344.999500,196.927491,196,100.000000,Organic patch,1.100000,2.200000,0.038000
141,1526519.087000,5172168.971000,-94.999700,-344.999500,195.395524,195,100.000000,Organic patch,1.100000,2.200000,0.038000
142,1526529.087000,5172168.971000,-84.999700,-344.999500,193.840668,193,100.000000,Organic patch,1.100000,2.200000,0.038000
143,1526539.087000,5172168.971000,-74.999700,-344.999500,192.264743,192,100.000000,Organic patch,1.100000,2.200000,0.038000
144,1526549.087000,5172168.971000,-64.999700,-344.999500,190.669750,190,100.000000,Organic patch,1.100000,2.200000,0.038000
145,1526559.087000,5172168.971000,-54.999700,-344.999500,189.057852,189,100.000000,Organic patch,1.100000,2.200000,0.038000
146,1526569.087000,5172168.971000,-44.999700,-344.999500,187.431370,187,100.000000,Organic patch,1.100000,2.200000,0.038000
147,1526579.087000,5172168.971000,-34.999700,-344.999500,185.792756,185,100.000000,Organic patch,1.100000,2.200000,0.038000
148,1526589.087000,5172168.971000,-24.999700,-344.999500,184.144580,184,100.000000,Organic patch,1.100000,2.200000,0.038000
149,1526599.087000,5172168.971000,-14.999700,-344.999500,182.489507,182,100.000000,Organic patch,1.100000,2.200000,0.038000
150,1526609.087000,5172168.971000,-4.999700,-344.999500,180.830267,180,100.000000,Organic patch,1.100000,2.200000,0.038000
151,1526619.087000,5172168.971000,5.000300,-344.999500,179.169633,179,100.000000,Organic patch,1.100000,2.200000,0.038000
152,1526629.087000,5172168.971000,15.000300,-344.999500,177.510394,177,100.000000,Organic patch,1.100000,2.200000,0.038000
153,1526639.087000,5172168.971000,25.000300,-344.999500,175.855321,175,100.000000,Organic patch,1.100000,2.200000,0.038000
154,1526649.087000,5172168.971000,35.000300,-344.999500,174.207146,174,100.000000,Organic patch,1.100000,2.200000,0.038000
155,1526659.087000,5172168.971000,45.000300,-344.999500,172.568532,172,100.000000,Organic patch,1.100000,2.200000,0.038000
156,1526669.087000,5172168.971000,55.000300,-344.999500,170.942050,170,100.000000,Organic patch,1.100000,2.200000,0.038000
157,1526679.087000,5172168.971000,65.000300,-344.999500,169.330154,169,100.000000,Organic patch,1.100000,2.200000,0.038000
158,1526689.087000,5172168.971000,75.000300,-344.999500,167.735161,167,100.000000,Organic patch,1.100000,2.200000,0.038000
159,1526699.087000,5172168.971000,85.000300,-344.999500,166.159238,166,100.000000,Organic patch,1.100000,2.200000,0.038000
160,1526709.087000,5172168.971000,95.000300,-344.999500,164.604383,164,100.000000,Organic patch,1.100000,2.200000,0.038000
161,1526719.087000,5172168.971000,105.000300,-344.999500,163.072418,163,100.000000,Organic patch,1.100000,2.200000,0.038000
162,1526729.087000,5172168.971000,115.000300,-344.999500,161.564981,161,100.000000,Organic patch,1.100000,2.200000,0.038000
163,1526739.087000,5172168.971000,125.000300,-344.999500,160.083523,160,100.000000,Organic patch,1.100000,2.200000,0.038000
164,1526749.087000,5172168.971000,135.000300,-344.999500,158.629306,158,100.000000,Organic patch,1.100000,2.200000,0.038000
165,1526759.087000,5172168.971000,145.000300,-344.999500,157.203407,157,100.000000,Organic patch,1.100000,2.200000,0.038000
166,1526769.087000,5172168.971000,155.000300,-344.999500,155.806719,155,100.000000,Organic patch,1.100000,2.200000,0.038000
167,1526779.087000,5172168.971000,165.000300,-344.999500,154.439962,154,100.000000,Organic patch,1.100000,2.200000,0.038000
168,1526789.087000,5172168.971000,175.000300,-344.999500,153.103690,153,100.000000,Organic patch,1.100000,2.200000,0.038000
169,1526799.087000,5172168.971000,185.000300,-344.999500,151.798299,151,100.000000,Organic patch,1.100000,2.200000,0.038000
170,1526809.087000,5172168.971000,195.000300,-344.999500,150.524038,150,100.000000,Organic patch,1.100000,2.200000,0.038000
171,1526399.087000,5172178.971000,-214.999700,-334.999500,212.691987,212,100.000000,Organic patch,1.100000,2.200000,0.038000
172,1526409.087000,5172178.971000,-204.999700,-334.999500,211.464144,211,100.000000,Organic patch,1.100000,2.200000,0.038000
173,1526419.087000,5172178.971000,-194.999700,-334.999500,210.203237,210,100.000000,Organic patch,1.100000,2.200000,0.038000
